round,item_id,category,priority,evidence_strength,product_name_zh,product_name_ko,brand,item_type,korea_buy_locations,korea_price_krw_observed_or_range,taiwan_availability,why_buy_tw_consumer,risks,bringback_status,korea_source_url,taiwan_source_url,blockers,popularity_keep_or_drop,popularity_confidence_level,best_popularity_signal,rating_or_review_count,popularity_reason,recommended_rank_delta,popularity_rank
第四輪新增,KCAT-POP-075,砂盆,A,high,Moderna Flip Cat 翻蓋式貓砂盆,모데르나 플립캣 고양이 화장실,Moderna,翻蓋式貓砂盆,Danawa / open market,"38,500–53,750 KRW",momo related goods,平價封閉式砂盆，前蓋好清理,門片接受度因貓而異,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%EB%AA%A8%EB%8D%B0%EB%A5%B4%EB%82%98%20%ED%94%8C%EB%A6%BD%EC%BA%A3%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%ED%99%94%EC%9E%A5%EC%8B%A4,https://www.momoshop.com.tw/search/Moderna%20Flip%20Cat%20%E8%B2%93%E7%A0%82%E7%9B%86?viewport=desktop,Naver/Coupang blocked,keep,high,High KR marketplace count,Danawa 58; momo 4,韓國精準商品深度高，價格也較合理。,2,33
第四輪新增,KCAT-POP-077,排泄物收納/除臭,A,high,Litter Genie Plus 貓砂便便防臭桶,리터지니 플러스 고양이 배변통,Litter Genie,貓砂垃圾桶/防臭收納桶,Danawa / overseas purchase,"65,020–87,560 KRW",momo Litter Genie listings,減少每日丟垃圾，租屋族/小宅控味,專用補充膠卷成本,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%EB%A6%AC%ED%84%B0%EC%A7%80%EB%8B%88%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%B0%B0%EB%B3%80%ED%86%B5,https://www.momoshop.com.tw/search/Litter%20Genie%20%E8%B2%93?viewport=desktop,Naver/Coupang blocked,keep,high,KR+TW exact brand listings,Danawa 11; momo 5,兩市場都有品牌/品類深度，防臭需求明確。,2,34
第四輪新增,KCAT-POP-080,耗材/收納,A,high,PETKIT PURA MAX/MAX2 專用集便垃圾袋,펫킷 푸라맥스/맥스2 전용 배변봉투,PETKIT,自動貓砂機專用垃圾袋,Danawa / open market,"12,060–30,680 KRW",momo Petkit 垃圾袋 listings,自動砂盆必備耗材，比砂本體輕、可補貨,僅適用特定 PETKIT 機型；非通用,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.danawa.com/dsearch.php?query=%ED%8E%AB%ED%82%B7%20%ED%91%B8%EB%9D%BC%EB%A7%A5%EC%8A%A4%20%EB%B0%B0%EB%B3%80%EB%B4%89%ED%88%AC,https://www.momoshop.com.tw/search/Petkit%20%E5%9E%83%E5%9C%BE%E8%A2%8B%20%E8%B2%93%E7%A0%82%E6%A9%9F?viewport=desktop,Naver/Coupang blocked,keep,high,KR+TW consumable depth,Danawa 41; momo 6,自動砂盆高需求耗材，輕量且跨市場多 listing。,2,35
第四輪新增,KCAT-POP-083,玩具,A,high,Rispet 貓用多尾巴自動逗貓玩具第3代,리스펫 캣 멀티꼬리잡기 자동 장난감 3세대,Rispet / 리스펫,自動尾巴逗貓玩具,PetFriends,"35,900 KRW",台灣未確認，可用品牌/韓文名查詢,自動互動玩具，適合獨處貓消耗精力,需監督尾巴配件磨耗；確認電池規格,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/326909,https://shopee.tw/search?keyword=Rispet%20%E8%B2%93%20%E8%87%AA%E5%8B%95%20%E5%B0%BE%E5%B7%B4%20%E7%8E%A9%E5%85%B7,,keep,high,Korea high,"PetFriends 4.6/5, 303 reviews",韓國貓用自動玩具 300+ 評論。,2,36
第四輪新增,KCAT-POP-087,玩具,A,high,Petmorn 螢火蟲機器蟲貓玩具,펫모닝 반딧불 로봇버그,Petmorn / 펫모닝,機器蟲玩具,PetFriends,"3,750 KRW",台灣有相似機器蟲玩具,輕量電子蟲，適合短時間追逐遊戲,電池/小零件需防貓咬開,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/89960,https://shopee.tw/search?keyword=%E8%B2%93%20%E6%A9%9F%E5%99%A8%E8%9F%B2%20%E8%9E%A2%E7%81%AB%E8%9F%B2,,keep,high,Korea high,"PetFriends 4.6/5, 312 reviews",同系列電子蟲 300+ 評論。,2,37
第四輪新增,KCAT-POP-103,餵食,A,high,PETKIT 雙子星智能寵物餵食器攝影版,펫킷 듀얼호퍼/제미니 카메라 자동급식기,PETKIT,雙槽視訊自動餵食器,Naver/Coupang search path; exact blocked,not observed,"momo i_code=12151764, TWD 5588",雙槽、攝影機、app feeding；不同於既有 Fresh Element Mini,狗貓共用 SKU；需避免與舊款混淆,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=PETKIT%20YumShare%20Gemini%20%EC%9E%90%EB%8F%99%EA%B8%89%EC%8B%9D%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12151764,Naver Shopping access restriction,keep,high,Taiwan momo 16 reviews,"4.8/5, 16 reviews",PETKIT 新款雙槽攝影版，台灣評論足夠且非舊款重複。,2,38
第四輪新增,KCAT-POP-105,飲水,A,high,u-ta MW43 免換濾心智能傾倒式寵物飲水機,유타 MW43 무필터 자동교체/틸팅 반려동물 정수기,u-ta,免濾心傾倒式飲水機,Naver Shopping search path; exact blocked,not observed,"momo i_code=14933026, TWD 1250",無濾心/低耗材設計，不鏽鋼碗選項,狗貓共用；自清/傾倒機制需看使用習慣,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=u-ta%20MW43%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%A0%95%EC%88%98%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14933026,Naver Shopping access restriction,keep,high,Taiwan momo 41 reviews,"4.6/5, 41 reviews",台灣有明確評論數，功能差異化。,2,39
第四輪新增,KCAT-POP-116,美容,A,high,TAIGA 大河 CB1073 七合一多功能寵物美容機,타이가 CB1073 7-in-1 반려동물 미용기,TAIGA,多功能美容理毛機,Naver Shopping search path; exact blocked,not observed,"momo i_code=13042747, TWD 1999",理毛/修腳毛/磨甲類工具組，無液體化學品,狗貓共用；噪音敏感貓需循序適應,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=TAIGA%20CB1073%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%AF%B8%EC%9A%A9%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13042747,Naver Shopping access restriction,keep,high,Taiwan momo 62 reviews,"4.9/5, 62 reviews",美容工具組台灣評論強，非液體非食品。,2,40
第二輪,KCAT-NOLITTER-023,美容,A｜優先買,medium,PETHROOM 雙頭寵物牙刷（不含牙膏）,페스룸 고양이 칫솔,PETHROOM,牙刷,PETHROOM Korea / Coupang / Naver,"約13,000–22,000 KRW",台灣較少/平輸,只買牙刷，避開牙膏液體/成分風險,需選貓嘴尺寸；刷牙需訓練,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%98%EC%8A%A4%EB%A3%B8%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%B9%AB%EC%86%94,https://www.google.com/search?q=PETHROOM%20%E7%89%99%E5%88%B7%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-031,keep,high,Korea high,PETHROOM 口腔護理工具在韓國官方/Naver/Coupang 可見,韓國品牌優勢且只列牙刷不列牙膏。,1,41
第二輪,KCAT-NOLITTER-030,抓板,B｜可順手買,weak,Garigari Sofa 貓抓板沙發,가리가리 소파 고양이 스크래쳐,Garigari,沙發型紙抓板,Coupang / Naver Shopping,"約18,000–40,000 KRW",台灣有平輸/同類,可抓可躺，行李可壓平包裝時適合,紙屑、潮濕發霉；不適合吃紙貓,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%80%EB%A6%AC%EA%B0%80%EB%A6%AC%20%EC%86%8C%ED%8C%8C%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Garigari%20sofa%20%E8%B2%93%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-038,keep,high,Korea medium-high,"KR Coupang 4.6/5, 348 reviews",Garigari Sofa 韓國同款評分/評論足夠。,1,42
第二輪,KCAT-NOLITTER-035,玩具,A｜優先買,medium,Cat Dancer Original 鋼線紙卷逗貓棒,캣댄서 오리지널 고양이 장난감,Cat Dancer,鋼線逗貓玩具,Coupang / Naver Shopping,"約5,000–12,000 KRW",台灣有平輸,小件輕便，非食物非植物,鋼線尾端需看顧；不用時收起,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%BA%A3%EB%8C%84%EC%84%9C%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://www.google.com/search?q=Cat%20Dancer%20Original%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-043,keep,high,Korea retailer + blog,"KR Coupang 4.8/5, 42 reviews; 經典長銷描述",Cat Dancer Original 經典長銷，上調。,1,43
第三輪新增,KCAT-NOLITTER-052,玩具,B｜可順手買,strong,手持雷射筆逗貓器,가또나인 고양이 레이저 포인터,가또나인,手持雷射玩具,Naver Shopping / Coupang / SmartStore,"約9,900–13,886 KRW",台灣有相似雷射筆，未見同品牌常態販售,小、輕、便宜，適合作順手帶回小物,不可照眼；需搭配實體玩具完成狩獵,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/misoanjel_/224223485388,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%EA%B0%80%EB%98%90%EB%82%98%EC%9D%B8+%E8%B2%93+%E9%9B%B7%E5%B0%84,確認雷射等級與電池形式；原清單ID：KCAT100-071,keep,high,Korea medium-high,"KR PetFriends 4.8/5, 169 reviews",韓國同品牌雷射筆有明確評論與高評分。,1,44
第三輪新增,KCAT-NOLITTER-053,玩具,B｜可順手買,medium,雷射梳造型逗貓器,펫긱 레이저 빗,펫긱,手持雷射/互動玩具,Coupang / Naver Shopping,"約10,500–12,580 KRW",台灣未見同款穩定代理,便宜輕巧，適合非食品貓奴小物,AAA電池另購；雷射安全同上,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://blog.naver.com/bbuue_/224281680723,https://www.google.com/search?q=%E5%8F%B0%E7%81%A3+%ED%8E%AB%EA%B8%B1+%E9%9B%B7%E5%B0%84%E6%A2%B3+%E8%B2%93,確認包裝是否含電池；原清單ID：KCAT100-072,keep,high,Korea medium-high,"PETGEEK store 12,237 total reviews avg 4.8; laser comb 4.94/5, 66 reviews",店鋪與單品評分強，保留上調。,1,45
第四輪新增,KCAT-POP-097,玩具,A,high,Altteulpet 貓用壁掛玩具,알뜰펫 고양이 벽부착 장난감 블루/옐로우/캐릭터A/캐릭터B,Altteulpet / 알뜰펫,壁掛玩具,PetFriends,"9,900 KRW",台灣有相似壁掛玩具,可貼牆使用，適合小空間環境豐富化,黏貼強度需確認；小配件破損即移除,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://m.pet-friends.co.kr/product/detail/217903,https://shopee.tw/search?keyword=%E8%B2%93%20%E5%A3%81%E6%8E%9B%20%E7%8E%A9%E5%85%B7,,keep,high,Korea high,"PetFriends 4.6/5, 167 reviews",100+ 評論且評分高，非食品小物。,1,46
第四輪新增,KCAT-POP-106,飲水,A,high,Cheerble 七布無泵無線寵物飲水機 E1+ 2L,치어블 E1+ 무펌프 무선 반려동물 정수기 2L,Cheerble,無線飲水機,Naver Shopping search path; exact blocked,not observed,"momo i_code=14687557, TWD 1791",無線磁吸供水設計，適合換位擺放,狗貓共用；續航與電池規範需確認,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=Cheerble%20E1%2B%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%A0%95%EC%88%98%EA%B8%B0,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14687557,Naver Shopping access restriction,keep,high,Taiwan momo 16 reviews,"4.8/5, 16 reviews",台灣雙位數評價且品牌款式清楚。,1,47
第四輪新增,KCAT-POP-111,外出旅行,A,high,FikaGO TRUFFLE PLUS 露踏踏外出包 加高版,피카고 트러플 플러스 외출가방 하이 버전,FikaGO,高階軟式外出包,Naver Shopping search path; exact blocked,not observed,"momo i_code=13281299, TWD 3980",高階旅行包，加高版較適合貓,狗貓共用；機艙尺寸依航空不同,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=FikaGO%20TRUFFLE%20PLUS%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%9D%B4%EB%8F%99%EA%B0%80%EB%B0%A9,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13281299,Naver Shopping access restriction,keep,high,Taiwan momo 19 reviews,"4.9/5, 19 reviews",台灣高評分旅行包，品牌款式明確。,1,48
第四輪新增,KCAT-POP-113,美容,A,high,PETKIT LED 寵物指甲剪,펫킷 LED 반려동물 발톱깎이,PETKIT,LED 指甲剪,Naver Shopping search path; exact blocked,not observed,"momo i_code=9653140, TWD 468",LED 輔助看血線，PETKIT 工具款,狗貓共用；深色甲仍不一定看清,可攜回候選：非食品、非貓砂本體、非植物/動物來源材料；大型/電子/利器依航空與保固規範處理,https://search.shopping.naver.com/search/all?query=PETKIT%20LED%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%B0%9C%ED%86%B1%EA%B9%8E%EC%9D%B4,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9653140,Naver Shopping access restriction,keep,high,Taiwan momo 13 reviews,"5.0/5, 13 reviews",PETKIT 工具款與既有 Dingdongpet/Babion 不重複。,1,49
第三輪新增,KCAT-NOLITTER-044,清潔周邊,A｜優先買,strong,Kangjipsa 全換砂大鏟,강집사 고양이 화장실 전체갈이 모래삽,Kangjipsa / 강집사,塑膠大砂鏟/全換砂工具,官方商城 / Naver SmartStore / AboutPet,"約5,500 KRW",台灣主流通路未確認,輕、非食品非植物；比帶貓砂更適合帶回,體積較長；塑膠鏟遇重礦砂可能彎曲,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://kangjipsa.com/product/%EC%A0%84%EC%B2%B4%EA%B0%88%EC%9D%B4-%EB%AA%A8%EB%9E%98%EC%82%BD/47/,https://shopee.tw/search?keyword=%E5%85%A8%E6%8F%9B%E7%A0%82%20%E8%B2%93%E7%A0%82%E9%8F%9F,避免買木柄款；原清單ID：KCAT100-063,keep,high,Korea official rating signal,"Korea official 4.9/5, 7 reviews",官方評分可驗證，工具輕便。,0,50
第三輪新增,KCAT-NOLITTER-049,收納/清潔,A｜優先買,strong,Cocosiru Diolock 15L 雙重防臭寵物排泄物垃圾桶,코코시루 다용도 냄새차단 디오락 쓰레기통 C15TC,Cocosiru / 코코시루,排泄物垃圾桶/收納桶,Pet Friends / AboutPet / 官方商城 / SSG,"約35,000 KRW / 15L",台灣有防臭桶替代；此韓國款未見主流通路,非食品非植物非液體，對小坪數貓家庭實用,體積較大；耗材袋需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://aboutpet.co.kr/goods/indexGoodsDetail?goodsId=GI251138067,https://shopee.tw/search?keyword=%E5%AF%B5%E7%89%A9%20%E9%98%B2%E8%87%AD%20%E5%9E%83%E5%9C%BE%E6%A1%B6,確認專用袋是否可替代；原清單ID：KCAT100-068,keep,high,Korea official + category demand,"Official 5/5, 3 reviews; AboutPet listing; Taiwan category demand",實用防臭收納，保留。,0,51
第二輪,KCAT-NOLITTER-002,砂盆工具,A｜優先買,medium,Mango 貓砂鏟,망고 고양이 화장실 모래삽 배변용품 스쿱,Mango,貓砂鏟,Pet Friends,待查,未見主流台灣正式通路,輕、小、工具類，適合伴手,孔徑需配合砂種,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/348203,https://shopee.tw/search?keyword=%EB%A7%9D%EA%B3%A0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EB%AA%A8%EB%9E%98%EC%82%BD,原清單ID：KCAT100-010,keep,high,Korea rating signal,"Korea: PetFriends 5/5, 3 reviews",輕便工具且有韓國零售評分；評論量低，作低順位加購。,-2,52
第二輪,KCAT-NOLITTER-003,砂盆工具,A｜優先買,medium,Mango 全換砂專用大砂鏟,망고 고양이 화장실 전체갈이 모래삽,Mango,大砂鏟/全換砂工具,Pet Friends,待查,未見主流台灣正式通路,換整盆砂時實用；比帶砂省重量,行李中防止柄部折斷,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://m.pet-friends.co.kr/product/detail/317772,https://shopee.tw/search?keyword=%E5%85%A8%E6%8F%9B%E7%A0%82%20%E8%B2%93%E7%A0%82%E9%8F%9F,原清單ID：KCAT100-011,keep,high,Korea rating signal,"Korea: PetFriends 5/5, 4 reviews",實用工具但評論量低；保留為低順位。,-2,53
第三輪新增,KCAT-NOLITTER-065,餵食/飲水工具,A｜優先買,medium,SureFeed 微晶片感應防搶食餵食器,슈어피드 마이크로칩 펫 피더,SureFeed / Sure Petcare,RFID/微晶片感應餵食器,Naver Shopping / Gmarket / 海外直購賣場,"約270,000–350,000 KRW",台灣多為蝦皮/代購/海外賣場,多貓分食、處方飼料防偷吃很實用,價格高；需晶片或項圈RFID牌；C電池另購,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=SureFeed%20%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%B9%A9%20%EA%B8%89%EC%8B%9D%EA%B8%B0,https://shopee.tw/search?keyword=SureFeed%20%E5%BE%AE%E6%99%B6%E7%89%87%20%E9%A4%B5%E9%A3%9F%E5%99%A8,韓國多為海外直購/平輸，需核對保固；原清單ID：KCAT100-084,keep,medium-high,Taiwan high,台灣多貓防搶食需求與 SureFeed 搜尋/代購能見度高,功能差異化強，上調。,2,54
第二輪,KCAT-NOLITTER-016,餵食,B｜可順手買,medium,Catit Senses 2.0 Digger 慢食/覓食器,캣잇 센스 2.0 디거 고양이 급식기,Catit,慢食器/益智餵食,Coupang / Naver Shopping / Pet Friends,"約19,000–35,000 KRW",台灣有進口,非食物且可提升覓食；比大電器好帶,塑膠刮傷需清洗；急性子貓可能硬咬,可攜回候選：非食品、非動物來源、非植物材料；仍需遵守航空/海關規定,https://search.naver.com/search.naver?where=nexearch&query=%EC%BA%A3%EC%9E%87%20%EC%84%BC%EC%8A%A4%202.0%20%EB%94%94%EA%B1%B0%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EA%B8%89%EC%8B%9D%EA%B8%B0,https://www.google.com/search?q=Catit%20Digger%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-024,keep,medium-high,Taiwan high,Catit 在台灣通路常見，Senses 系列辨識度佳,知名貓用品品牌，保留上調。,1,55
第三輪新增,KCAT-NOLITTER-066,餵食/飲水工具,B｜可順手買,medium,PetSafe Drinkwell 360 不鏽鋼寵物飲水機,펫세이프 드링크웰 360 스테인리스 정수기,PetSafe Drinkwell,循環式飲水機,Naver Shopping / Coupang / Gmarket,"約120,000–170,000 KRW",台灣蝦皮、PChome/代購可見同系列或零件,不鏽鋼耐用，適合重視清潔的家庭,需確認110–240V變壓器、濾芯與馬達耗材,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=PetSafe%20Drinkwell%20360%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%A0%95%EC%88%98%EA%B8%B0,https://shopee.tw/search?keyword=PetSafe%20Drinkwell%20360,購買前確認是整機非濾芯/變壓器；原清單ID：KCAT100-085,keep,medium-high,Taiwan medium-high,Drinkwell 系列台灣進口通路可見,老牌飲水機，保留上調。,1,56
第三輪新增,KCAT-NOLITTER-070,餵食/飲水工具,B｜可順手買,medium,PETLIBRO RFID 標籤自動餵食器 3L,펫리브로 RFID 태그 자동급식기 3L,PETLIBRO,RFID項圈標籤自動餵食器,LotteON / Naver Shopping,"約398,000–450,000 KRW",台灣可搜尋到PETLIBRO但RFID款通路較不穩,多貓防搶食、處方餐分開管理,項圈接受度、感應穩定性、App/保固與價格,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.lotteon.com/p/product/LO2635893266,https://shopee.tw/search?keyword=PETLIBRO%20RFID%20%E9%A4%B5%E9%A3%9F%E5%99%A8,確認型號與項圈數量；本清單只列機器不列食物；原清單ID：KCAT100-089,keep,medium-high,Taiwan medium-high,PETLIBRO RFID 台灣搜尋可見；LotteON 商品頁,RFID 功能差異化，保留上調。,1,57
第三輪新增,KCAT-NOLITTER-071,餵食/飲水工具,A｜優先買,medium,Cat Mate C500 五餐定時餵食器,캣메이트 C500 5끼 자동급식기,Cat Mate,旋轉盤式五餐自動餵食器,Eurowings Korea / Naver Shopping / 海外直購,"約156,500–209,600 KRW",台灣蝦皮/代購可見Cat Mate,少數可放冰包的定時餵食器；本清單只列機器不列食品,台灣高溫環境不宜久放餐食；清洗密封度需留意,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,http://www.eurowings.co.kr/goods/goods_view.php?goodsNo=1000008864,https://shopee.tw/search?keyword=Cat%20Mate%20C500,價格可能高於歐美原價；原清單ID：KCAT100-090,keep,medium-high,Taiwan medium-high,Cat Mate C500 台灣進口/蝦皮可見，全球長銷,五餐盤式餵食器功能清楚，上調。,1,58
第三輪新增,KCAT-NOLITTER-078,外出旅行,B｜可順手買,weak,IRIS OHYAMA ATC-530 上開式外出籠,아이리스오야마 ATC-530 이동장,IRIS OHYAMA,上掀硬殼外出籠,Naver Shopping / Coupang / Gmarket,"約35,000–70,000 KRW",台灣有IRIS OHYAMA通路與相近型號,上開式看診友善，硬殼好清潔,體積大；塑膠硬殼易刮；扣具尺寸需確認,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%9D%B4%EB%A6%AC%EC%8A%A4%EC%98%A4%EC%95%BC%EB%A7%88%20ATC-530%20%EC%9D%B4%EB%8F%99%EC%9E%A5%20%EA%B3%A0%EC%96%91%EC%9D%B4,https://shopee.tw/search?keyword=IRIS%20ATC-530%20%E8%B2%93,型號可能有韓日版本差異；原清單ID：KCAT100-097,keep,medium-high,Taiwan medium-high,IRIS OHYAMA 台灣知名度高，上開籠需求明確,知名日系品牌，上調。,1,59
第三輪新增,KCAT-NOLITTER-080,梳毛清潔工具,A｜優先買,medium,Tangle Teezer Pet Teezer Cat Grooming Brush 貓用梳,탱글티저 펫티저 캣 그루밍 브러쉬,Tangle Teezer / Pet Teezer,貓用梳毛刷,SSG.COM / Musinsa / Naver Shopping,"約20,000–35,000 KRW",台灣可見代購或電商,貓專用款、設計感好，適合送禮,對嚴重底毛/打結不如針梳,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.ssg.com/item/itemView.ssg?itemId=1000551890420,https://shopee.tw/search?keyword=Pet%20Teezer%20Cat%20%E6%A2%B3,確認是Cat款非大型犬款；原清單ID：KCAT100-099,keep,medium-high,Korea medium-high,SSG/Musinsa/Naver 可見，Tangle Teezer 品牌認知佳,韓國通路品質較好，保留上調。,1,60
第三輪新增,KCAT-NOLITTER-081,梳毛清潔工具,B｜可順手買,medium,Hertzko 自清潔針梳,헤르츠코 셀프 클리닝 슬리커 브러쉬,Hertzko,自清潔針梳/除廢毛刷,Coupang / Buytop / Naver搜尋,"約20,000–45,000 KRW",台灣蝦皮/代購可見Hertzko針梳,按鈕退毛方便，換毛期實用；非刀片式去毛,針梳需輕手，皮膚敏感或短毛貓可能不喜歡,可攜回候選：非食品、非動物來源、非植物材料；液體/電池/利器/大型品依航空規定處理,https://www.coupang.com/vp/products/8630531394,https://shopee.tw/search?keyword=Hertzko%20%E8%87%AA%E6%B8%85%E6%BD%94%20%E9%87%9D%E6%A2%B3%20%E8%B2%93,Coupang頁面可能擋海外瀏覽；原清單ID：KCAT100-100,keep,medium-high,Taiwan medium-high,Hertzko 自清潔針梳台灣搜尋/蝦皮可見，全球知名,代表款之一，保留上調。,1,61
第二輪,KCAT-NOLITTER-007,除臭,C｜先觀望,medium,Animalie 無香貓砂盆除臭噴霧 500ml,아니말리 고양이 모래 화장실 탈취제 무향 500ml,Animalie,無香液體除臭噴霧,Naver SmartStore,"500ml 約12,900 KRW",未見主流台灣正式通路,無香款且標示 limonene-free，適合貓廁清潔小物,液體需託運防漏；少量測試避免貓排斥,可託運但不優先；液體須防漏並遵守航空限制,https://blog.naver.com/hyexnjin/224135051728,https://shopee.tw/search?keyword=%EC%95%84%EB%8B%88%EB%A7%90%EB%A6%AC%20%E7%84%A1%E9%A6%99%20%E8%B2%93,原清單ID：KCAT100-015,keep,medium,Korea rating + blog-review signal,"Korea: Naver snippet 5/5, 188 ratings; multiple blogs",韓國人氣訊號比原先強，但液體托運風險仍需註明。,2,62
第二輪,KCAT-NOLITTER-010,飲水,A｜優先買,medium,PETKIT Eversweet 3 Pro UVC 智慧寵物飲水機,펫킷 UVC 에버스윗3 Pro 고양이 살균 무선 정수기,PETKIT,飲水機,PETKIT Korea / Coupang / Naver Shopping,"約89,000–159,000 KRW",台灣有代理/平輸,UVC/無線版適合多貓飲水管理,韓版插頭/電壓、APP區域、電池/保固；濾芯另買,可攜回電子品；確認鋰電池容量與託運/手提規則,https://search.naver.com/search.naver?where=nexearch&query=PETKIT%20Uvc%20%EC%97%90%EB%B2%84%EC%8A%A4%EC%9C%973%20Pro%20%EA%B3%A0%EC%96%91%EC%9D%B4%20%EC%82%B4%EA%B7%A0%20%EB%AC%B4%EC%84%A0%20%EC%A0%95%EC%88%98%EA%B8%B0,https://www.google.com/search?q=PETKIT%20Eversweet%203%20Pro%20%E5%8F%B0%E7%81%A3,原清單ID：KCAT100-018,keep,medium,Taiwan high,PETKIT 台灣官網/PChome/momo/蝦皮等通路可見,PETKIT 台灣與韓國通路強，智慧飲水機熱門，上調。,2,63
